SAMPLE CODE,Acanthurus bahianus,Acanthurus chirurgus,Acanthurus coeruleus,Acanthurus tractus,Aetobatus narinari,Alectis ciliaris,Balistes vetula,Calamus pennatula,Canthidermis sufflamen,Caranx crysos,Caranx hippos,Caranx latus,Caranx lugubris,Caranx ruber,Carcharhinus limbatus,Carcharhinus perezii,Cephalopholis cruentata,Cephalopholis fulva,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Decapterus macarellus,Elagatis bipinnulata,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Gerres cinereus,Ginglymostoma cirratum,Gymnothorax moringa,Haemulon plumierii,Holacanthus ciliaris,Holacanthus tricolor,Hypanus americanus,Istiophorus albicans,Lachnolaimus maximus,Lactophrys trigonus,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Microspathodon chrysurus,Mycteroperca interstitialis,Mycteroperca tigris,Mycteroperca venenosa,Negaprion brevirostris,Ocyurus chrysurus,Pomacanthus paru,Pterois volitans,Scarus coelestinus,Scarus iseri,Scarus taeniopterus,Scomberomorus regalis,Seriola rivoliana,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Sphyraena barracuda,Trachinotus falcatus,,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT
2015Boya Vieja (2015)1,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.04,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.51,,254.47,0.00,33.72,65.51,0.00,0.00,54.13,0.00,0.00,0.00,446.79,0.00,0.00,,2015,Southwest,La Parguera,Boya Vieja (2015),Intermediate,1
2015Boya Vieja (2015)2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,25.57,0.00,8.43,0.00,0.00,0.00,151.08,0.00,0.00,0.00,0.00,0.00,0.00,,2015,Southwest,La Parguera,Boya Vieja (2015),Intermediate,2
2015Boya Vieja (2015)3,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.86,,0.00,0.00,109.62,275.08,0.00,0.00,8.18,0.00,0.00,0.00,68.28,0.00,0.00,,2015,Southwest,La Parguera,Boya Vieja (2015),Intermediate,3
2015Boya Vieja (2015)4,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.98,,0.00,0.00,61.83,0.00,0.00,0.00,40.90,0.00,0.00,0.00,47.18,2645.49,0.00,,2015,Southwest,La Parguera,Boya Vieja (2015),Intermediate,4
2015Boya Vieja (2015)5,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.86,,4.39,0.00,0.00,185.22,0.00,0.00,54.13,0.00,0.00,0.00,11.38,0.00,0.00,,2015,Southwest,La Parguera,Boya Vieja (2015),Intermediate,5
2015Cayo Aurora1,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,37.77,0.00,0.00,230.59,461.65,0.00,0.00,,2015,Southwest,Guanica,Cayo Aurora,Very Shallow,1
2015Cayo Aurora2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2015,Southwest,Guanica,Cayo Aurora,Very Shallow,2
2015Cayo Aurora3,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,50.58,0.00,0.00,0.00,83.72,0.00,0.00,340.58,502.14,0.00,0.00,,2015,Southwest,Guanica,Cayo Aurora,Very Shallow,3
2015Cayo Aurora4,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.16,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,188.85,0.00,0.00,0.00,58.56,0.00,0.00,,2015,Southwest,Guanica,Cayo Aurora,Very Shallow,4
2015Cayo Aurora5,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2015,Southwest,Guanica,Cayo Aurora,Very Shallow,5
2015Cayo Coral1,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.72,,0.00,0.00,241.22,0.00,0.00,0.00,45.95,0.00,0.00,0.00,11.38,0.00,0.00,,2015,Southwest,Guanica,Cayo Coral,Very Shallow,1
2015Cayo Coral2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,1178.10,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,59.01,0.00,0.00,0.00,37.77,0.00,0.00,0.00,94.36,0.00,0.00,,2015,Southwest,Guanica,Cayo Coral,Very Shallow,2
2015Cayo Coral3,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,398.60,0.00,0.00,0.00,256.35,0.00,0.00,0.00,0.00,0.00,0.00,,2015,Southwest,Guanica,Cayo Coral,Very Shallow,3
2015Cayo Coral4,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,36.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,446.79,0.00,0.00,,2015,Southwest,Guanica,Cayo Coral,Very Shallow,4
2015Cayo Coral5,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,60.80,0.00,84.30,0.00,0.00,0.00,37.77,0.00,0.00,0.00,697.86,0.00,0.00,,2015,Southwest,Guanica,Cayo Coral,Very Shallow,5
2015Derrumbadero1,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,654.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,248.66,168.41,0.00,0.00,0.00,0.00,0.00,0.00,263.97,0.00,0.00,,2015,South,Ponce,Derrumbadero,Intermediate,1
2015Derrumbadero2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,654.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.98,,0.00,0.00,426.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.56,0.00,0.00,,2015,South,Ponce,Derrumbadero,Intermediate,2
2015Derrumbadero3,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.72,,0.00,0.00,146.16,0.00,0.00,0.00,37.77,0.00,0.00,0.00,11.38,0.00,0.00,,2015,South,Ponce,Derrumbadero,Intermediate,3
2015Derrumbadero4,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,241.71,0.00,0.00,0.00,8.18,0.00,0.00,0.00,469.55,0.00,0.00,,2015,South,Ponce,Derrumbadero,Intermediate,4
2015Derrumbadero5,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.98,,0.00,0.00,132.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.18,1665.25,0.00,,2015,South,Ponce,Derrumbadero,Intermediate,5
2015Efras Wall1,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.24,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361.11,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2015,Southwest,La Parguera,Efras Wall,Intermediate,1
2015Efras Wall2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,269.08,0.00,0.00,0.00,0.00,100.45,0.00,0.00,0.00,0.00,0.00,,2015,Southwest,La Parguera,Efras Wall,Intermediate,2
2015Efras Wall3,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263.97,0.00,0.00,,2015,Southwest,La Parguera,Efras Wall,Intermediate,3
2015Efras Wall4,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.04,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14101.11,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,254.47,0.00,109.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.38,0.00,0.00,,2015,Southwest,La Parguera,Efras Wall,Intermediate,4
2015Efras Wall5,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,35.52,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,148.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.18,0.00,0.00,,2015,Southwest,La Parguera,Efras Wall,Intermediate,5
2015El Palo1,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,38.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.84,0.00,0.00,,2015,West,Cabo Rojo,El Palo,Very Shallow,1
2015El Palo2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,,0.00,0.00,50.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.66,0.00,0.00,,2015,West,Cabo Rojo,El Palo,Very Shallow,2
2015El Palo3,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,115.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.79,0.00,0.00,,2015,West,Cabo Rojo,El Palo,Very Shallow,3
2015El Palo4,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.94,,0.00,0.00,59.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.18,0.00,0.00,,2015,West,Cabo Rojo,El Palo,Very Shallow,4
2015El Palo5,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,442.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,167.39,0.00,0.00,0.00,37.77,0.00,0.00,0.00,251.07,0.00,0.00,,2015,West,Cabo Rojo,El Palo,Very Shallow,5
2015Gallardo (2013)1,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,512.03,0.00,0.00,,2015,West,Cabo Rojo,Gallardo (2013),Very Shallow,1
2015Gallardo (2013)2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,4.40,0.00,0.00,0.00,75.54,0.00,0.00,0.00,252.99,0.00,0.00,,2015,West,Cabo Rojo,Gallardo (2013),Very Shallow,2
2015Gallardo (2013)3,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,241.68,0.00,0.00,0.00,188.99,0.00,0.00,648.26,607.88,0.00,0.00,,2015,West,Cabo Rojo,Gallardo (2013),Very Shallow,3
2015Gallardo (2013)4,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348.19,,0.00,0.00,0.00,0.00,0.00,0.00,227.84,0.00,0.00,0.00,697.86,0.00,0.00,,2015,West,Cabo Rojo,Gallardo (2013),Very Shallow,4
2015Gallardo (2013)5,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,84.30,0.00,0.00,0.00,151.08,0.00,0.00,0.00,446.79,0.00,0.00,,2015,West,Cabo Rojo,Gallardo (2013),Very Shallow,5
2015Media Luna 10m (Parguera)1,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,431.56,0.00,0.00,0.00,22.76,0.00,0.00,,2015,Southwest,La Parguera,Media Luna 10m (Parguera),Shallow,1
2015Media Luna 10m (Parguera)2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,98.51,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2015,Southwest,La Parguera,Media Luna 10m (Parguera),Shallow,2
2015Media Luna 10m (Parguera)3,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.98,,0.00,0.00,8.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.00,,2015,Southwest,La Parguera,Media Luna 10m (Parguera),Shallow,3
2015Media Luna 10m (Parguera)4,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,8.43,0.00,0.00,0.00,0.00,100.45,0.00,0.00,122.43,0.00,0.00,,2015,Southwest,La Parguera,Media Luna 10m (Parguera),Shallow,4
2015Media Luna 10m (Parguera)5,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.63,,0.00,0.00,8.43,0.00,0.00,0.00,75.54,0.00,0.00,0.00,47.18,0.00,0.00,,2015,Southwest,La Parguera,Media Luna 10m (Parguera),Shallow,5
2015Media Luna 5m (Parguera)1,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,329.28,0.00,0.00,846.76,0.00,0.00,0.00,448.07,0.00,0.00,,2015,Southwest,La Parguera,Media Luna 5m (Parguera),Very Shallow,1
2015Media Luna 5m (Parguera)2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,580.73,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,516.23,,0.00,0.00,36.54,452.76,0.00,0.00,105.27,100.45,0.00,0.00,723.71,0.00,0.00,,2015,Southwest,La Parguera,Media Luna 5m (Parguera),Very Shallow,2
2015Media Luna 5m (Parguera)3,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.88,70.86,0.00,0.00,0.00,0.00,0.00,0.00,747.11,0.00,0.00,,2015,Southwest,La Parguera,Media Luna 5m (Parguera),Very Shallow,3
2015Media Luna 5m (Parguera)4,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,139.32,0.00,0.00,211.28,0.00,0.00,0.00,12.02,0.00,0.00,,2015,Southwest,La Parguera,Media Luna 5m (Parguera),Very Shallow,4
2015Media Luna 5m (Parguera)5,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,89.94,172.18,0.00,0.00,37.77,0.00,0.00,0.00,494.61,0.00,0.00,,2015,Southwest,La Parguera,Media Luna 5m (Parguera),Very Shallow,5
2015Puerto Botes 15m1,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.56,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,302.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2015,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,1
2015Puerto Botes 15m2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.36,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1550.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,351.97,,0.00,0.00,0.00,162.94,0.00,0.00,8.18,0.00,0.00,0.00,0.00,0.00,0.00,,2015,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,2
2015Puerto Botes 15m3,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.18,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,36.54,192.76,0.00,0.00,159.26,0.00,0.00,0.00,0.00,0.00,0.00,,2015,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,3
