SAMPLE CODE,Rugosity (m),Reef overhang,Rubble,Sand,Sand and rubble,Gaps/Holes,Abiotic (total),Lebrunia neglecta,Phymanthus crucifer,Ricordea florida,Anemone spp. ,Anemones (total),Eudistoma spp. ,Trididemnum solidum,Ascidian spp. ,Tunicata (total),CCA (total),Cyanobacteria (total),Thalassia testudinum,Seagrass (total),Amphiroa spp. ,Asparagopsis taxiformis,Asparagopsis taxiformis on Ramicrusta,Caulerpa racemosa,Caulerpa spp.  ,Caulerpa spp.  on Ramicrusta,Dichotomaria marginata,Dictyota spp. ,Dictyota spp.  on Ramicrusta,Galaxaura spp. ,Galaxaura spp.  on Ramicrusta,Gracilaria spp. ,Halimeda discoidea,Halimeda spp. ,Halimeda spp.  on Ramicrusta,Halimeda tuna,Jania spp. ,Lobophora spp. ,Lobophora variegata,Lobophora variegatus on Ramicrusta,Martensia pavonia,Padina spp. ,Sargassum hystrix,Sargassum natans,Stypopodium spp. ,Stypopodium zonale,Udotea spp.  ,Valonia ventricosa,Wrangelia bicuspidata,Macroalgae spp. ,Macroalgae (total),Ramicrusta spp. ,Peyssonnelia spp. ,Peyssonneliaceae (total),Turf (mixed) on Ramicrusta,Turf (mixed) with sediment,Turf (mixed),Turf Algae (total),Antillogorgia acerosa,Antillogorgia americana,Antillogorgia bipinnata,Antillogorgia rigida,Eunicea calyculata,Eunicea flexuosa,Eunicea mammosa,Eunicea pallida,Eunicea spp. ,Eunicea succinea,Eunicea tourneforti,Gorgonia mariae,Gorgonia ventalina,Muricea atlantica,Muricea elongata,Muricea muricata,Muricea pinnata,Muriceopsis flavida,Plexaura homomalla,Plexaura kukenthali,Plexaura spp. ,Plexaurella nutans,Pseudoplexaura flagellosa,Pseudoplexaura spp. ,Pseudoplexaura wagenaari,Pterogorgia guadalupensis,Pterogorgia spp.  ,Octocoral spp.,Octocorals (total erect),Briareum asbestinum,Erythropodium caribaeorum,Octocoral spp. (encrusting),Octocorals (total encrusting),Antillogorgia acerosa (# col.),Antillogorgia americana (# col.),Antillogorgia bipinnata (# col.),Antillogorgia spp.  (# col.)  ,Briareum asbestinum (# col.),Erythropodium caribaeorum (# col.),Eunicea asperula (# col.),Eunicea calyculata (# col.),Eunicea flexuosa (# col.),Eunicea lacinata (# col.),Eunicea laxispica (# col.),Eunicea mammosa (# col.),Eunicea spp.  (# col.),Eunicea succinea (# col.),Eunicea tourneforti (# col.),Gorgonia ventalina (# col.),Muricea atlantica (# col.),Muricea elongata (# col.),Muricea laxa (# col.),Muricea muricata (# col.),Muricea spp.  (# col).,Muriceopsis flavida (# col.),Plexaura homomalla (# col.),Plexaura kukenthali (# col.),Plexaura kuna (# col.),Plexaura spp.  (# col.),Plexaurella dichotoma (# col.),Plexaurella nutans (# col.),Plexaurella spp.  (# col.),Pseudoplexaura flagellosa (# col.),Pseudoplexaura porosa (# col.),Pterogorgia citrina (# col.),Pterogorgia guadalupensis (# col.),Pterogorgia spp.  (# col.),Octocoral (total # col.),Agelas citrina,Agelas clathrodes,Agelas conifera,Agelas dispar,Agelas sceptrum,Agelas spp. ,Agelas sventres,Agelas tubulata,Aiolochroia crassa,Amphimedon compressa,Amphimedon viridis,Aplysina archeri,Aplysina cauliformis,Aplysina fistularis,Aplysina fulva,Aplysina lacunosa,Aplysina spp. ,Biemna caribea,Biemna spp. ,Callyspongia armigera,Callyspongia fallax,Callyspongia plicifera,Callyspongia spp. ,Callyspongia tenerrima,Callyspongia vaginalis,Chondrilla caribensis,Chondrosia collectrix,Cinachyrella apion,Cinachyrella kuekenthali,Clathria spp.  ,Clathria venosa,Cliona aprica,Cliona caribbaea,Cliona delitrix,Cliona laticavicola,Cliona spp.  ,Cliona tenuis,Cliona varians,Cribrochalina vasculum,Desmapsamma spp. ,Desmapsamma anchorata,Dictyonella funicularis,Dictyonella spp. ,Diplastrella spp. ,Dragmacidon reticulatum,Dysidea etheria,Dysidea janiae,Ectyoplasia ferox,Geodia neptuni,Haliclona spp. ,Halisarca caerulea,Halisarca spp. ,Iotrochota arenosa,Iotrochota birotulata,Ircinia campana,Ircinia felix,Ircinia spp. ,Ircinia strobilina,Monanchora arbuscula,Mycale laevis,Mycale laxissima,Neofibularia nolitangere,Neopetrosia carbonaria,Neopetrosia proxima,Neopetrosia rosariensis,Neopetrosia spp. ,Niphates alba,Niphates caribica,Niphates caycedoi,Niphates digitalis,Niphates erecta,Niphates spp. ,Petrosia pellasarca,Petrosia spp. ,Petrosia weinbergi,Phorbas amaranthus,Placospherastra micraster,Plakortis angulospiculatus,Plakortis halichondrioides,Plakortis spp. ,Prosuberites laughlini,Ptilocaulis walpersii,Scopalina ruetzleri,Smenospongia aurea,Smenospongia conulosa,Spheciospongia vesparium,Spirastrella coccinea,Spirastrella hartmani,Suberea spp. ,Svenzea zeai,Tedania klausi,Topsentia ophiraphidites,Topsentia spp. ,Verongula reiswigi,Verongula rigida,Verongula spp. ,Xestospongia muta,Sponge spp. ,Sponges (total),Acropora cervicornis,Acropora palmata,Acropora prolifera,Agaricia agaricites,Agaricia grahamae,Agaricia humilis,Agaricia lamarcki,Agaricia spp.  ,Colpophyllia natans,Dendrogyra cylindrus,Dichocoenia stokesii,Diploria labyrinthiformis,Eusmilia fastigiata,Helioseris cucullata,Isophyllia rigida,Isophyllia sinuosa,Madracis auretenra,Madracis carmabi,Madracis decactis,Madracis formosa,Madracis pharensis,Madracis senaria,Madracis spp. ,Manicina areolata,Meandrina meandrites,Montastraea cavernosa,Mussa angulosa,Mycetophyllia aliciae,Mycetophyllia danaana,Mycetophyllia ferox,Mycetophyllia lamarckiana,Mycetophyllia spp. ,Oculina diffusa,Orbicella annularis,Orbicella annularis (complex),Orbicella faveolata,Orbicella franksi,Porites astreoides,Porites colonensis,Porites divaricata,Porites furcata,Porites porites,Pseudodiploria clivosa,Pseudodiploria strigosa,Scolymia cubensis,Scolymia spp. ,Siderastrea radians,Siderastrea siderea,Solenastrea bournoni,Stephanocoenia intersepta,Stony Coral spp. ,Millepora alcicornis,Millepora complanata,Millepora spp. ,Millepora squarrosa,Stylaster roseus,Stony Corals (total),Stony Corals (total # diseased col.),Stony Corals (total #col.),Partially bleached coral (total),Recently dead coral (total),Condominium spp.  ,Palythoa grandis,Palythoa caribaeorum,Zoanthids (total),,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT
2013Cibuco (2013)1,2,10.15,0,3.97,0,0,14.12,0,0,0,0,0,0,0,0,0,2.33,0,0,0,,,,,0,,,0,,0,,,,0,,,0,0,,,,0,0,,,,,,,0,0,0,0,0,,,43.52,43.52,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18.09,,,0.82,0,0,14.94,0,0.93,3.73,0,0,0,0,0,0,0,0,0,0,0,0,38.74,,,0,0,0,0,0,0,,2013,North/Northeast,Vega Baja,Cibuco (2013),Shallow,1
2013Cibuco (2013)2,3.3,8.21,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,0,,,0,0,,,,0,0,,,,,,,0,0,0,0,0,,,30.21,30.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,60,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,61.58,,,0,0,0,0,0,0,,2013,North/Northeast,Vega Baja,Cibuco (2013),Shallow,2
2013Cibuco (2013)3,3.7,10.25,0,0,0,0,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,0,,,0,0,,,,0,0,,,,,,,0,0,0,0,0,,,35.29,35.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,1.07,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,22.37,,,0,0,0,29.69,0,0,1.33,0,0,0,0,0,0,0.01,0,0,0,0,0,53.4,,,0,0,0,0,0,0,,2013,North/Northeast,Vega Baja,Cibuco (2013),Shallow,3
2013Cibuco (2013)4,3.21,19.07,0,5.3,0,0,24.36,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0.53,,0,,,,0,,,1.17,0,,,,0,0,,,,,,,0,1.7,0,0,0,,,44.28,44.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0.95,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0,0.95,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,,24.47,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.71,,,0,0,0,0,0,0,,2013,North/Northeast,Vega Baja,Cibuco (2013),Shallow,4
2013Cibuco (2013)5,3.52,6.85,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,5.14,0,0,0,,,,,0,,,0,,0,,,,0,,,0,0,,,,0,0,,,,,,,0,0,0,0,0,,,48.51,48.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,2.28,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0,2.28,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20.54,,,0.57,0,0,8.27,0,0,12.27,0,0,0,0,0,0,0,0,0,0,0,0,41.94,,,0,0,0,0,1.28,1.28,,2013,North/Northeast,Vega Baja,Cibuco (2013),Shallow,5
2013Derrumbadero1,3.34,13.1,1.5,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0.8,0,0,0,,,,,0,,,3.3,,0,,,,0,,,0,26.7,,,,0,0,,,,,,,0,30,0,0,0,,,33.7,33.7,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,1.8,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.2,0,1.7,1.4,0,0.5,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0.1,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0.3,0,,0.8,,,,,0,0,,0,0,0.1,,0,0,0,,,0,,,0,,0,,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.6,,,3.4,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,13.2,,,0,0,0,0,0,0,,2013,South,Ponce,Derrumbadero,Intermediate,1
2013Derrumbadero2,0.28,12.4,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0,1.4,0.5,0,0,,,,,0,,,5.7,,0,,,,0,,,0,27.2,,,,0,0,,,,,,,0,32.9,0,0,0,,,27.5,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.1,0.9,5.4,6.5,0,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,0.4,0.4,0,0,0.3,,,0,0.4,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,1.2,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0.7,0,,0,,,,,0,0,,0,0,0.7,,0,0,0,,,0,,,0,,0,,0,0.7,4.8,0,0,0,0,0,0.8,0,0,0,0,0,1.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.7,,,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,,,0,0,0,0,0,0,,2013,South,Ponce,Derrumbadero,Intermediate,2
2013Derrumbadero3,6.07,12,0,1.7,0,0,13.7,0,0,0,0,0,0,0,0,0,1,1.4,0,0,,,,,0,,,7.1,,0,,,,0,,,0,22.6,,,,0,0,,,,,,,0,29.7,0,0,0,,,38.6,38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.3,0.3,0,0.5,0,0,,,0.3,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0.2,1.6,0,0,0,0.6,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,,4.9,,,3.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,12.6,,,0,0,0,0,0,0,,2013,South,Ponce,Derrumbadero,Intermediate,3
2013Derrumbadero4,3.65,10.1,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,2.2,0,0,0,,,,,0,,,3.5,,0,,,,0,,,0,27.2,,,,0,0,,,,,,,0,30.7,0,0,0,,,42.5,42.5,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0,0.5,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.2,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0.4,0.7,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0.5,0,0,,,0,,,,,0,0,0,,0.4,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,1.9,4.1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,,5,,,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,9.5,,,0,0,0,0,0,0,,2013,South,Ponce,Derrumbadero,Intermediate,4
2013Derrumbadero5,2.33,3.3,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,4.1,0,0,0,,,,,0,,,1.6,,0,,,,0,,,0,40.5,,,,0,0,,,,,,,0,42.1,0,0,0,,,34.3,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.6,0.2,0,0.9,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,1.1,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0,2.8,0,0,0,0.5,1.7,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2,0,0,0,0,0,0,0,,4.9,,,1.9,0,0,0,0,0,0,0,0,0,0.3,0,0,0.1,0,0,0,0,0,13.4,,,0,0,0,0,0,0,,2013,South,Ponce,Derrumbadero,Intermediate,5
2013El Palo1,2.68,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,11.7,,,0,0,,,,0,0,,,,,,,0,11.7,0,0,0,,,52.6,52.6,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.1,1.9,2.5,0.3,0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,0,0,0,0,,,0,0,,,1.3,,0.2,0,,,,,0.2,,,,0,0,,,0,0,,,1.1,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0.6,0.2,,,0,,,,,0,0,0.4,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,1.2,5.2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.6,,,2,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,12.6,,,0,0,0,0,0,0,,2013,West,Cabo Rojo,El Palo,Very Shallow,1
2013El Palo2,2.57,8.2,0,12.1,0,0,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,0,,,0,0,,,,0,0,,,,,,,0,0,0,0,0,,,51.8,51.8,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,6.6,4.7,0,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,0,0,0,0,0,,,0,0,,,0.8,,1.1,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0.6,2.5,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.8,,,3.6,0,0,0,0,0,0,0,0,0,5.2,0,3.1,0,0,0,0,0,0,13.5,,,0,0,0,0,0,0,,2013,West,Cabo Rojo,El Palo,Very Shallow,2
2013El Palo3,3.76,11.9,0,2.3,0,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,7.8,,,0,0,,,,0,0,,,,,,,0,7.8,0,0,0,,,47.7,47.7,0,0.4,0,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2,4.7,0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0.5,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0.6,0.9,0,0.6,0,,,0,,,,,0,0,0.7,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0.7,,0,0,4,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,,5.3,,,4.3,0,0,0,1.5,0,2.3,0,0,0,4,0,0,0,0,0,0,0,0,18.7,,,0,0,0,0,0,0,,2013,West,Cabo Rojo,El Palo,Very Shallow,3
2013El Palo4,0.69,23.7,0,7.9,0,0,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,4.5,,,0,0,,,,0,0,,,,,,,0,4.5,0,0,0,,,34.8,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0.3,0,0,,,0,,,0,,0.3,,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,,19.8,,,0.4,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,23.4,,,0,0,0,0,0,0,,2013,West,Cabo Rojo,El Palo,Very Shallow,4
2013El Palo5,6.2,16.4,0,7.9,0,0,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,7.8,,,0,0,,,,0,0,,,,,,,0,7.8,0,0,0,,,42.5,42.5,0,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,2.6,1.3,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,0,0.9,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0.3,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0.2,,0,0,0,1.8,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,3.9,,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,,2.7,,,1.6,0,0,0,0.9,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,14.4,,,0,0,0,0,0,0,,2013,West,Cabo Rojo,El Palo,Very Shallow,5
2013El Seco1,0,0,0,1.7,0,0,1.7,0,0,0,0,0,0,0,0,0,14.1,2.4,0,0,,,,,0,,,0,,0,,,,0.4,,,0,8.6,,,,0,0,,,,,,,0,9,0,0,0,,,35.9,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32.2,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,,,0,0,0,0,0,0,,2013,Vieques/Culebra,Isla Vieques,El Seco,MESOPHOTIC,1
2013El Seco2,0,0,0,6.8,0,0,6.8,0,0,0,0,0,0,0,0,0,8.5,6,0,0,,,,,0,,,0,,0,,,,0,,,0,6.1,,,,0,0,,,,,,,0,6.1,0,0,0,,,38.1,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0,0,0,0,0,0,0,0,1.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,,29.4,,,1.2,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,33.4,,,0,0,0,0,0,0,,2013,Vieques/Culebra,Isla Vieques,El Seco,MESOPHOTIC,2
2013El Seco3,0,0,0,9.2,0,0,9.2,0,0,0,0,0,0,0,0,0,12.9,5.2,0,0,,,,,0,,,0,,0,,,,0,,,0,8.2,,,,0,0,,,,,,,0,8.2,0,0,0,,,27.7,27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,0,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,1.2,1.2,0,0,0,0,0,0,0.4,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32.8,,,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,35.6,,,0,0,0,0,0,0,,2013,Vieques/Culebra,Isla Vieques,El Seco,MESOPHOTIC,3
2013El Seco4,0,0,0,2.8,0,0,4,0,0,0,0,0,0,0,0,0,11.3,2.8,0,0,,,,,0,,,0,,0,,,,0,,,0,8.1,,,,0,0,,,,,,,0,8.1,0,0,0,,,21.8,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,0,,0,0,,,,,0,,,,0,0,,,0,0,,,0,,,3.7,,0,,,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,,,0,0,0,,0,,,,,0,0,,0,0,0,,0,0,0,,,0,,,0,,0,,0,0.4,4.1,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44.2,,,0.8,0,0,0,0.8,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,47.1,,,0,1.2,0,0,0,0,,2013,Vieques/Culebra,Isla Vieques,El Seco,MESOPHOTIC,4
