PUERTO RICO CORAL REEF MONITORING PROGRAM SITE CLASSIFICATION DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Name,Site Code,Location,Region,Geographic Zone,Central Latitude,Central Longitude,Status,Baseline Year,Most Recent Survey,# Surveyed Years,Surveyed Years,Insular Shelf Zone,Reef Zonation,Mean Depth_(m),Z – true (m),Depth Zone,Habitat Type,Mean Rugosity (m),Topographic Complexity,Coral Biotope,Coral cover % change since baseline,Distance from PR Shoreline (km),Distance from PR Shoreline (km)[Binned],Distance Nearest River Mouth (km),Distance Nearest River Mouth (km) [Binned],Nearest River Mouth Direction,Nearest Main Watershed,# of Waterways Inputs (<10km),# of Waterways Inputs (<10km) [Binned],Watershed Region,PRASA Wastewater Treatment Plant in Near Waterway Inputs,Station Within MPA?,Distance to nearest MPA (km),Nearest MPA Name,MPA Designation Year,MPA Years Since Designation,MPA Seafloor Surface Area (Km^2),MPA Fishing Restrictions,MPA Level of Protection,Transect Coordinates,T1_Lat,T1_Lon,T2_Lat,T2_Lon,T3_Lat,T3_Lon,T4_Lat,T4_Lon,T5_Lat,T5_Lon
Canjilones (Vieques),01CANJ15,Isla Vieques,Vieques/Culebra,E,18.08964,-65.59008,Current,2001,2018,5,"2001, 2004, 2013, 2016, 2018",Inner-Shelf*Island,Bank/Shelf,15,16,intermediate (15-21m),Spur & Groove,4,High (3-4m),High-Moderate Hard Coral,-45%,13.5,>12km,20.5,>12km,W,Rio Blanco,1,1w,East/Northeast,,No,10,Punta Yeguas,2000,19,26244,No Site Restrictions,Uniform Multiple-Use,Yes,18.08961,-65.5902,18.08959,-65.59011,18.08964,-65.59008,18.08966,-65.59003,18.08954,-65.59026
Comandante,01COMA05,Isla Vieques,Vieques/Culebra,E,18.15775,-65.47045,Previous,2001,2001,1,2001,Inner-Shelf*Island,Bank/Shelf,5,5.5, very shallow (0-8m),Patch reef ,6,Very High (5-8m),O. annularis complex,N/A,15,>12km,32,>12km,W,Rio Blanco,0,0w,No Near Influence,Yes,No,19.3, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,18.15775,-65.47045,,,,
Las Coronas (Vieques),01CORV10,Isla Vieques,Vieques/Culebra,E,18.16493,-65.4909,Previous,2001,2004,2,"2001, 2004",Middle-Shelf*Island,Fore Reef,10,10.6,shallow (8-14m),Aggregate reef,5,Very High (5-8m),High-Moderate Hard Coral,22%,12.6,>12km,31,>12km,W,Rio Blanco,0,0w,No Near Influence,Yes,No,18.6, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,18.16493,-65.4909,,,,
Esperanza,01ESPE10,Isla Vieques,Vieques/Culebra,E,18.08057,-65.48794,Current,2001,2018,4,"2001, 2013, 2016, 2018",Inner-Shelf*Island,Bank/Shelf,10,9.4,shallow (8-14m),Patch reef ,3,High (3-4m),High-Moderate Hard Coral,-73%,20,>12km,31.3,>12km,W,Rio Blanco,1,1w,East/Northeast,,No,1.34, Bahia Bioluminiscente de Vieques,1989,30,79.62,No Site Restrictions,Uniform Multiple-Use,Yes,18.08067,-65.48785,18.08062,-65.48788,18.08057,-65.48794,18.08052,-65.48795,18.08047,-65.48809
Mosquito,01MOSQ10,Isla Vieques,Vieques/Culebra,E,18.1634,-65.51913,Previous,2001,2004,2,"2001, 2004",Middle-Shelf*Island,Fore Reef,10,10.6,shallow (8-14m),Aggregate reef,4,High (3-4m),O. annularis complex,-1%,11.3,>12km,28,>12km,W,Rio Blanco,0,0w,No Near Influence,Yes,No,18.8, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,18.1634,-65.51913,,,,
Monte Pirata,01MTPI15,Isla Vieques,Vieques/Culebra,E,18.08053,-65.48795,Previous,2001,2004,2,"2001, 2004",Inner-Shelf*Island,Bank/Shelf,15,15.2,intermediate (15-21m),Spur & Groove,5,Very High (5-8m),High-Moderate Hard Coral,-14%,14,>12km,22,>12km,W,Rio Blanco,1,1w,East/Northeast,,No,10.7,Punta Yeguas,2000,19,26244,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,18.08053,-65.48795,,,,
North Caballo Blanco,01NCAB05,Isla Vieques,Vieques/Culebra,E,18.05532,-65.46715,Previous,2001,2001,1,2001,Middle-Shelf*Island,Fore Reef,5,4, very shallow (0-8m),Aggregate reef,6,Very High (5-8m),O. annularis complex,N/A,14.3,>12km,34,>12km,W,Rio Blanco,0,0w,No Near Influence,Yes,No,18.9, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,18.05532,-65.46715,,,,
Puerto Ferro,01PTFE10,Isla Vieques,Vieques/Culebra,E,18.08075,-65.41762,Previous,2001,2001,1,2001,Middle-Shelf*Island,Bank/Shelf,10,12,shallow (8-14m),Aggregate reef,3,High (3-4m),Octocoral canopy,N/A,27,>12km,39,>12km,W,Rio Blanco,1,1w,East/Northeast,,No,1.7, Bahia Bioluminiscente de Vieques,1989,30,79.62,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,18.08075,-65.41762,,,,
West Caballo Blanco,01WCAB05,Isla Vieques,Vieques/Culebra,E,18.17162,-65.46877,Previous,2001,2004,2,"2001, 2004",Middle-Shelf*Island,Reef Crest,5,4.5, very shallow (0-8m),Aggregate reef,5,Very High (5-8m),High-Moderate Hard Coral,131%,14.3,>12km,34,>12km,W,Rio Blanco,0,0w,No Near Influence,Yes,No,19.6, Arrecifes de la Cordillera,1980,39,100.83,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,18.17162,-65.46877,,,,
Black Jack,04BLAC30,Isla Vieques,Vieques/Culebra,E,18.05532,-65.46323,Previous,2004,2004,1,2004,Outer-Shelf*Island,Shelf Edge,30,30.3,mesophotic (28-35m),Aggregate reef,0,Low (0-2m),O. annularis complex,N/A,25,>12km,34,>12km,W,Rio Blanco,1,1-3w,East/Northeast,,Yes,0, Bahia Bioluminiscente de Vieques,1989,30,79.62,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,18.05532,-65.46323,,,,
El Seco,11SECO30,Isla Vieques,Vieques/Culebra,E,18.13869,-65.19714,Current,2011,2018,4,"2011, 2013, 2016, 2018",Outer-Shelf*Island,Shelf Edge,30,35,mesophotic (28-35m),Aggregate reef,0,Low (0-2m),O. annularis complex,-22%,43,>12km,63,>12km,W,Rio Blanco,0,0w,No Near Influence,,No,13,Hind Bank Marine Conservation District,1989,30,44.63,Commercial and Recreational Fishing Prohibited,No-Take,PENDING,,,,,18.13869,-65.19714,,,,
Boya Vieja (2000),00BOYA20,La Parguera,Southwest,SW,17.89751,-66.9903,Previous,2000,2000,1,2000,Outer-Shelf,Shelf Edge,20,18.1,intermediate (15-21m),Spur & Groove,5,Very High (5-8m),O. annularis complex,N/A,5.1,3-6km,16.3,>12km,NE,Rio Loco Guanica,0,0w,No Near Influence,,Yes,0,La Parguera,1979,40,326.42,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,17.89751,-66.9903,,,,
Canjilones (Parguera),00CANP15,La Parguera,Southwest,SW,17.92197,-67.03541,Previous,2000,2000,1,2000,Middle-Shelf,Bank/Shelf,15,13.6,shallow (8-14m),Spur & Groove,3,High (3-4m),High-Moderate Hard Coral,N/A,7,6-12km,20,>12km,NE,Rio Loco Guanica,0,0w,No Near Influence,,Yes,0,La Parguera,1979,40,326.42,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,17.92197,-67.03541,,,,
La Margarita,00MARG15,La Parguera,Southwest,SW,17.91467,-67.11316,Previous,2000,2000,1,2000,Middle-Shelf,Bank/Shelf,15,14,shallow (8-14m),Aggregate reef,1,Low (0-2m),Octocoral canopy,N/A,6,3-6km,27,>12km,NE,Rio Loco Guanica,0,0w,No Near Influence,,Yes,0,La Parguera,1979,40,326.42,No Site Restrictions,Uniform Multiple-Use,N/A,,,,,17.91467,-67.11316,,,,
Efras Wall,13EWAL20,La Parguera,Southwest,SW,17.8976,-66.9599,Current,2013,2017,3,"2013, 2015, 2017",Outer-Shelf,Shelf Edge,20,19,intermediate (15-21m),Spur & Groove,3,High (3-4m),High-Moderate Hard Coral,0%,3.7,3-6km,12.2,6-12km,NE,Rio Loco Guanica,0,0w,No Near Influence,,Yes,0,La Parguera,1979,40,326.42,No Site Restrictions,Uniform Multiple-Use,PENDING,,,,,17.8976,-66.9599,,,,
Boya Vieja (2015),15BOYA20,La Parguera,Southwest,SW,17.88827,-66.9978,Current,2015,2017,2,"2015, 2017",Outer-Shelf,Shelf Edge,20,18,intermediate (15-21m),Spur & Groove,4,High (3-4m),High-Moderate Hard Coral,14%,6.6,3-6km,16.3,>12km,NE,Rio Loco Guanica,0,0w,No Near Influence,,Yes,0,La Parguera,1979,40,326.42,No Site Restrictions,Uniform Multiple-Use,Yes,17.8883,-66.99798,17.88825,-66.9979,17.88827,-66.9978,17.8883,-66.99772,17.88827,-66.99762
Media Luna 5m (Parguera),15MLUN05,La Parguera,Southwest,SW,17.93937,-67.05067,Current,2015,2017,2,"2015, 2017",Inner-Shelf,Back Reef,5,3, very shallow (0-8m),Patch reef ,5,Very High (5-8m),Low Coral,21%,3.6,3-6km,21.3,>12km,NE,Rio Loco Guanica,0,0w,No Near Influence,,Yes,0,La Parguera,1979,40,326.42,No Site Restrictions,Uniform Multiple-Use,Yes,17.93945,-67.05075,17.93925,-67.05075,17.93937,-67.05067,17.93985,-67.05067,17.93993,-67.05065
Media Luna 10m (Parguera),15MLUN10,La Parguera,Southwest,SW,17.93472,-67.0485,Current,2015,2017,2,"2015, 2017",Inner-Shelf,Fore Reef,10,9,shallow (8-14m),aggregate reef,4,High (3-4m),High-Moderate Hard Coral,44%,4.1,3-6km,21.3,>12km,NE,Rio Loco Guanica,0,0w,No Near Influence,,Yes,0,La Parguera,1979,40,326.42,No Site Restrictions,Uniform Multiple-Use,Yes,17.9347,-67.4823,17.93473,-67.04838,17.93472,-67.0485,17.9347,-67.0486,17.93473,-67.04878
Guanajibo,16GUAN20,Mayagüez,West,W,18.17202,-67.25297,Current,2016,2018,2,"2016, 2018",Outer-Shelf,Bank/Shelf,20,18,intermediate (15-21m),Aggregate reef,6,Very High (5-8m),O. annularis complex,-6%,7,6-12km,7.6,6-12km,E,Río Guanajibo,2,2-3w,West,,No,0.8,Arrecifes de Tourmaline,1998,21,72.69,Commerical Fishing Restricted,Zoned Multiple-Use w/ No Take Areas,PENDING,,,,,18.17202,-67.25297,,,,
Manchas Exteriores 10m,16MEXT10,Mayagüez,West,W,18.23353,-67.20057,Current,2016,2018,2,"2016, 2018",Middle-Shelf,Bank/Shelf,10,9.2,shallow (8-14m),Aggregate reef,4,High (3-4m),High-Moderate Hard Coral,-5%,3,3-6km,2.9,0-3km,NE,Río Grande Añasco,6,4-9w,West,Yes,Yes,0,Caño La Boquilla,2002,17,0.7,Fishing Restrictions Unknown,Uniform Multiple-Use,PENDING,,,,,18.23353,-67.20057,,,,
Manchas Exteriores 20m,16MEXT20,Mayagüez,West,W,18.2335,-67.20092,Current,2016,2018,2,"2016, 2018",Middle-Shelf,Bank/Shelf,20,18.5,intermediate (15-21m),Aggregate reef,5,Very High (5-8m),High-Moderate Hard Coral,-13%,3,3-6km,2.9,0-3km,NE,Río Grande Añasco,6,4-9w,West,Yes,Yes,0,Caño La Boquilla,2002,17,0.7,Fishing Restrictions Unknown,Uniform Multiple-Use,PENDING,,,,,18.2335,-67.20092,,,,
Cayo Rodriguez,16RODR05,Mayagüez,West,W,18.1893,-67.1919,Current,2016,2018,2,"2016, 2018",Inner-Shelf,Fore Reef,5,3.8, very shallow (0-8m),Patch reef ,4,High (3-4m),High-Moderate Hard Coral,-6%,2,0-3km,2.6,0-3km,SE,Río Guanajibo,6,4-9w,West,Yes,No,4.19,Caño La Boquilla,2002,17,0.7,Fishing Restrictions Unknown,Uniform Multiple-Use,PENDING,,,,,18.1893,-67.1919,,,,
Boya 2,01BOY215,Ponce,South,S,17.93025,-66.63023,Previous,2001,2001,1,2001,Outer-Shelf,Bank/Shelf,15,16.7,intermediate (15-21m),Aggregate reef,3,High (3-4m),High-Moderate Hard Coral,N/A,3.6,3-6km,5.7,3-6km,N,Rio Portugues,4,4-9w,South,,No,2.17,Punta Las Cucharas,2008,11,15,Fishing Restrictions Unknown,Uniform Multiple-Use,N/A,,,,,17.93025,-66.63023,,,,
Derrumbadero,01DERR20,Ponce,South,S,17.904,-66.6086,Current,2001,2017,11,"2001, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2017",Outer-Shelf,Shelf Edge,15,16.7,intermediate (15-21m),Spur & Groove,3,High (3-4m),High-Moderate Hard Coral,-48%,6.5,3-6km,8.6,6-12km,N,Rio Portugues,4,4-9w,South,,No,5.83,Punta Las Cucharas,2008,11,15,Fishing Restrictions Unknown,Uniform Multiple-Use,PENDING,,,,,17.904,-66.6086,,,,
Tasmania,01TASM10,Ponce,South,S,17.94273,-66.61912,Previous,2001,2001,1,2001,Middle-Shelf,Bank/Shelf,10,9.1,shallow (8-14m),Aggregate reef,2,Low (0-2m),Octocoral canopy,N/A,2,0-3km,4.4,3-6km,N,Rio Portugues,5,4-9w,South,,No,1.83,Punta Las Cucharas,2008,11,15,Fishing Restrictions Unknown,Uniform Multiple-Use,N/A,,,,,17.94273,-66.61912,,,,
Berbería,99BERB10,Ponce,South,S,17.91985,-66.45317,Previous,1999,1999,1,1999,Middle-Shelf*Island,Fore Reef,10,7.6, very shallow (0-8m),Aggregate reef,3,High (3-4m),High-Moderate Hard Coral,N/A,5,3-6km,5,3-6km,NE,Rio Coamo,6,4-9w,South,Yes,Yes,0,Isla Caja de Muertos,1980,39,125.5,Fishing Restrictions Unknown,Zoned Multiple-Use,N/A,,,,,17.91985,-66.45317,,,,
West Reef,99CDMU10,Ponce,South,S,17.89502,-66.52838,Current,1999,2017,11,"1999, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2017",Middle-Shelf*Island,Fore Reef,10,7.6, very shallow (0-8m),Aggregate reef,6,Very High (5-8m),Octocoral canopy,-35%,8.8,6-12km,8.8,6-12km,N,Rio Jacaguas,4,4-9w,South,,Yes,0,Isla Caja de Muertos,1980,39,125.5,Fishing Restrictions Unknown,Zoned Multiple-Use,PENDING,,,,,17.89502,-66.52838,,,,
Windward Reef,99CMWI10,Ponce,South,S,17.88902,-66.49683,Previous,1999,1999,1,1999,Middle-Shelf*Island,Fore Reef,10,9.1,shallow (8-14m),Pavement,1,Low (0-2m),Low Coral,N/A,10.5,6-12km,10.5,6-12km,NE,Rio Coamo,0,0w,No Near Influence,,Yes,0,Isla Caja de Muertos,1980,39,125.5,Fishing Restrictions Unknown,Zoned Multiple-Use,N/A,,,,,17.88902,-66.49683,,,,
Tres Palmas 5m,04TRES05,Rincon,West,W,18.35072,-67.26688,Current,2004,2017,11,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2017",Inner-Shelf,Reef Crest,5,2, very shallow (0-8m),Pavement,3,High (3-4m),A. palmata,-25%,0.1,0-3km,12,6-12km,NE,Rio Grande Aguada,4,4-9w,West,,Yes,0,Tres Palmas de Rincón,2004,15,0.83,Commercial and Recreational Fishing Prohibited,No-Take,Yes,18.35083,-67.00015,18.35083,-67.00015,18.35072,-67.26688,18.35068,-67.26688,18.35067,-67.26697
Tres Palmas 10m,04TRES10,Rincon,West,W,18.34732,-67.26997,Current,2004,2017,11,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2017",Middle-Shelf,Bank/Shelf,10,9,shallow (8-14m),Aggregate reef,2,Low (0-2m),High-Moderate Hard Coral,10%,0.6,0-3km,12,6-12km,NE,Rio Grande Aguada,4,4-9w,West,,Yes,0,Tres Palmas de Rincón,2004,15,0.83,Commercial and Recreational Fishing Prohibited,No-Take,Yes,18.34727,-67.27006,18.34732,-67.27003,18.34732,-67.26997,18.34732,-67.26991,18.34727,-67.26985
Tres Palmas 20m,04TRES20,Rincon,West,W,18.34652,-67.27118,Current,2004,2017,11,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2015, 2017",Outer-Shelf,Bank/Shelf,20,17,intermediate (15-21m),Aggregate reef,2,Low (0-2m),High-Moderate Hard Coral,11%,0.7,0-3km,12,6-12km,NE,Rio Grande Aguada,4,4-9w,West,,Yes,0,Tres Palmas de Rincón,2004,15,0.83,Commercial and Recreational Fishing Prohibited,No-Take,Yes,18.34638,-67.27107,18.34648,-67.271,18.34652,-67.27118,18.34656,-67.27117,18.34661,-67.27114
Cayos de Barca,01BARC10,Salinas,Southeast,S,17.91383,-66.24776,Previous,2001,2001,1,2001,Inner-Shelf,Fore Reef,10,10.6,shallow (8-14m),aggregate reef,2,Low (0-2m),High-Moderate Hard Coral,N/A,1.7,0-3km,8.09,6-12km,N,Rio Seco,5,4-9w,South,Yes,Yes,0,Reserva Nacional de Investigación Estuarina de Bahía de Jobos,1981,38,0.02,Commercial and Recreational Fishing Restricted,Uniform Multiple-Use,N/A,,,,,17.91383,-66.24776,,,,
Cayo Caribes (2013),13CARI10,Salinas,Southeast,S,17.92292,-66.20331,Previous,2013,2013,1,2013,Inner-Shelf,Fore Reef,10,10.5,shallow (8-14m),aggregate reef,1,Low (0-2m),High-Moderate Hard Coral,N/A,1,0-3km,7.26,6-12km,N,Rio Seco,4,4-9w,South,Yes,Yes,0,Reserva Nacional de Investigación Estuarina de Bahía de Jobos,1981,38,0.02,Commercial and Recreational Fishing Restricted,Uniform Multiple-Use,N/A,,,,,17.92292,-66.20331,,,,
Cayo Caribes (2016),16CARI10,Salinas,Southeast,S,17.91533,-66.2141,Current,2016,2017,2,"2016, 2017",Inner-Shelf,Fore Reef,10,9.1,shallow (8-14m),aggregate reef,2,Low (0-2m),High-Moderate Hard Coral,-3%,1.4,0-3km,6.7,6-12km,N,Rio Seco,4,4-9w,South,Yes,Yes,0,Reserva Nacional de Investigación Estuarina de Bahía de Jobos,1981,38,0.02,Commercial and Recreational Fishing Restricted,Uniform Multiple-Use,PENDING,,,,,17.91533,-66.2141,,,,
Cayo Ratones,16RATO05,Salinas,Southeast,S,17.9346,-66.3025,Current,2016,2017,2,"2016, 2017",Inner-Shelf,Back Reef,5,4, very shallow (0-8m),Patch reef ,2,Low (0-2m),High-Moderate Hard Coral,-16%,1.66,0-3km,4.05,3-6km,NW,Rio Salinas,9,4-9w,South,,No,4.69,Punta Petrona,1981,38,0.02,Commercial and Recreational Fishing Restricted,Uniform Multiple-Use,PENDING,,,,,17.9346,-66.3025,,,,
Cibuco (2011),11CIBU05,Vega Baja,North/Northeast,N  ,18.48916,-66.3736,Previous,2011,2011,1,2011,Inner-Shelf,Reef Crest,5,3.5, very shallow (0-8m),Aggregate reef,6,Very High (5-8m),O. annularis complex,N/A,0.2,0-3km,0.7,0-3km,W,Rio Cibuco,5,2-3w,East/Northeast,Yes,Yes,0, Pantano de Cibuco,1993,26,24,Commerical Fishing Restricted,Uniform Multiple-Use,N/A,,,,,18.48916,-66.3736,,,,
Cibuco (2013),13CIBU10,Vega Baja,North/Northeast,N  ,18.48955,-66.3736,Current,2013,2018,3,"2013, 2016, 2018",Inner-Shelf,Fore Reef,10,10,shallow (8-14m),Patch reef ,3,High (3-4m),O. annularis complex,-12%,0.2,0-3km,0.7,0-3km,W,Rio Cibuco,3,2-3w,East/Northeast,Yes,Yes,0, Pantano de Cibuco,1993,26,24,Commerical Fishing Restricted,Uniform Multiple-Use,Yes,18.48922,-66.37377,18.4893,-66.37367,18.48955,-66.3736,18.48932,-66.37348,18.48913,-66.37382
